aasm,5.2.0,MIT
actioncable,6.0.4.7,MIT
actionmailbox,6.0.4.7,MIT
actionmailer,6.0.4.7,MIT
actionpack,6.0.4.7,MIT
actiontext,6.0.4.7,MIT
actionview,6.0.4.7,MIT
activejob,6.0.4.7,MIT
activemodel,6.0.4.7,MIT
activerecord,6.0.4.7,MIT
activerecord-import,1.0.3,ruby
activerecord-nulldb-adapter,0.8.0,MIT
activerecord-session_store,2.0.0,MIT
activestorage,6.0.4.7,MIT
activesupport,6.0.4.7,MIT
acts_as_list,1.0.4,MIT
addressable,2.8.0,Apache 2.0
argon2,2.1.1,MIT
ast,2.4.2,MIT
autoprefixer-rails,10.4.2.0,MIT
binding_of_caller,1.0.0,MIT
biz,1.8.2,Apache 2.0
bootsnap,1.11.1,MIT
brakeman,5.2.1,MIT
browser,5.3.1,MIT
buftok,0.2.0,MIT
builder,3.2.4,MIT
bundler,1.17.3,MIT
byebug,11.0.1,Simplified BSD
capybara,3.36.0,MIT
childprocess,4.1.0,MIT
clavius,1.0.4,MIT
clearbit,0.3.3,MIT
coderay,1.1.3,MIT
coffee-rails,5.0.0,MIT
coffee-script,2.4.1,MIT
coffee-script-source,1.12.2,MIT
coffeelint,1.16.1,MIT
composite_primary_keys,12.0.10,MIT
concurrent-ruby,1.1.9,MIT
crack,0.4.5,MIT
crass,1.0.6,MIT
daemons,1.4.1,MIT
dalli,3.2.1,MIT
debase,0.2.4.1,MIT
debase-ruby_core_source,0.10.14,MIT
debug_inspector,1.1.0,MIT
delayed_job,4.1.10,MIT
delayed_job_active_record,4.1.7,MIT
deprecation_toolkit,1.5.1,MIT
diff-lcs,1.5.0,"Artistic-2.0,GPL-2.0+,MIT"
diffy,3.4.0,MIT
domain_name,0.5.20190701,"Mozilla Public License 2.0,New BSD,Simplified BSD"
doorkeeper,5.5.4,MIT
dotenv,2.7.6,MIT
eco,1.0.0,MIT
eco-source,1.1.0.rc.1,unknown
em-websocket,0.5.1,unknown
equalizer,0.0.11,MIT
erubi,1.10.0,MIT
eventmachine,1.2.7,"GPL-2.0,ruby"
execjs,2.8.1,MIT
factory_bot,6.2.0,MIT
factory_bot_rails,6.2.0,MIT
faker,2.20.0,MIT
faraday,1.10.0,MIT
ffi,1.15.5,New BSD
ffi-compiler,1.0.1,Apache 2.0
formatador,1.1.0,MIT
globalid,1.0.0,MIT
gmail_xoauth,0.4.2,unknown
guard,2.18.0,MIT
guard-compat,1.2.1,MIT
guard-livereload,2.5.2,MIT
guard-symlink,0.1.1,MIT
hashdiff,1.0.1,MIT
hashie,5.0.0,MIT
htmlentities,4.3.4,MIT
http,4.4.1,MIT
http-cookie,1.0.4,MIT
http-form_data,2.3.0,MIT
http_parser.rb,0.6.0,MIT
httpclient,2.8.3,ruby
i18n,1.10.0,MIT
icalendar,2.7.1,ruby
icalendar-recurrence,1.1.3,MIT
ice_cube,0.16.4,MIT
inflection,1.0.0,MIT
interception,0.5,MIT
json,2.6.1,ruby
jwt,2.3.0,MIT
kgio,2.11.4,LGPL-2.1+
koala,3.1.0,MIT
libv8,8.4.255.0,MIT
listen,3.7.1,MIT
little-plugger,1.1.4,MIT
logging,2.3.0,MIT
loofah,2.14.0,MIT
lumberjack,1.2.8,MIT
marcel,1.0.2,MIT
memoizable,0.4.2,MIT
method_source,1.0.0,MIT
mime-types,3.4.1,MIT
mime-types-data,3.2022.0105,MIT
mini_mime,1.1.2,MIT
mini_portile2,2.8.0,MIT
mini_racer,0.2.9,MIT
minitest,5.15.0,MIT
msgpack,1.4.5,Apache 2.0
multi_json,1.15.0,MIT
multi_xml,0.6.0,MIT
multipart-post,2.1.1,MIT
mysql2,0.5.3,MIT
naught,1.1.0,MIT
nenv,0.3.0,MIT
nestful,1.1.4,MIT
net-ldap,0.17.0,MIT
netrc,0.11.0,MIT
nio4r,2.5.8,MIT
nokogiri,1.13.3,MIT
nori,2.6.0,MIT
notiffany,0.1.3,MIT
oauth,0.5.8,MIT
oauth2,1.4.9,MIT
oj,3.11.3,MIT
omniauth,1.9.1,MIT
omniauth-csimodshib,0.1.0,MIT
omniauth-facebook,9.0.0,MIT
omniauth-github,1.4.0,MIT
omniauth-gitlab,2.0.0,MIT
omniauth-google-oauth2,0.8.2,MIT
omniauth-linkedin-oauth2,1.0.0,MIT
omniauth-microsoft-office365,0.0.8,MIT
omniauth-oauth,1.2.0,MIT
omniauth-oauth2,1.7.2,MIT
omniauth-rails_csrf_protection,0.1.2,MIT
omniauth-saml,1.10.3,MIT
omniauth-twitter,1.4.0,MIT
omniauth-weibo-oauth2,0.5.2,MIT
openssl,3.0.0,ruby
parallel,1.21.0,MIT
parser,3.1.1.0,MIT
pg,0.21.0,New BSD
power_assert,2.0.1,"2-clause BSDL,Ruby's"
pre-commit,0.39.0,Apache 2.0
pry,0.14.1,MIT
pry-rails,0.3.9,MIT
pry-remote,0.1.8,unknown
pry-rescue,1.5.2,MIT
pry-stack_explorer,0.6.1,MIT
public_suffix,4.0.6,MIT
puma,4.3.11,New BSD
pundit,2.2.0,MIT
pundit-matchers,1.7.0,MIT
rack,2.2.3,MIT
rack-livereload,0.3.17,MIT
rack-test,1.1.0,MIT
rails,6.0.4.7,MIT
rails-controller-testing,1.0.5,MIT
rails-dom-testing,2.0.3,MIT
rails-html-sanitizer,1.4.2,MIT
railties,6.0.4.7,MIT
rainbow,3.1.1,MIT
raindrops,0.20.0,LGPL-2.1+
rake,13.0.6,MIT
rb-fsevent,0.11.1,MIT
rb-inotify,0.10.1,MIT
rchardet,1.8.0,LGPL
regexp_parser,2.2.1,MIT
rest-client,2.1.0,MIT
rexml,3.2.5,Simplified BSD
rspec-core,3.11.0,MIT
rspec-expectations,3.11.0,MIT
rspec-mocks,3.11.0,MIT
rspec-rails,5.1.1,MIT
rspec-support,3.11.0,MIT
rszr,0.5.2,MIT
rubocop,1.26.0,MIT
rubocop-ast,1.16.0,MIT
rubocop-performance,1.13.3,MIT
rubocop-rails,2.13.2,MIT
rubocop-rspec,2.9.0,MIT
ruby-debug-ide,0.7.2,MIT
ruby-progressbar,1.11.0,MIT
ruby-saml,1.14.0,MIT
rubyntlm,0.6.3,unknown
rubyzip,2.3.2,Simplified BSD
sassc,2.4.0,MIT
sassc-rails,2.1.2,MIT
selenium-webdriver,4.1.0,Apache 2.0
shellany,0.0.1,MIT
shoulda-matchers,5.1.0,MIT
simple_oauth,0.3.1,MIT
slack-notifier,2.4.0,MIT
slop,3.6.0,MIT
spring,4.0.0,MIT
sprockets,3.7.2,MIT
sprockets-rails,3.4.2,MIT
tcr,0.2.2,MIT
telegramAPI,1.4.2,MIT
telephone_number,1.4.14,MIT
test-unit,3.5.3,"Python Software Foundation License,ruby"
thor,1.2.1,MIT
thread_safe,0.3.6,Apache 2.0
tilt,2.0.10,MIT
twilio-ruby,5.65.1,MIT
twitter,7.0.0,MIT
tzinfo,1.2.9,MIT
uglifier,4.2.0,MIT
unf,0.1.4,2-clause BSDL
unf_ext,0.0.8,MIT
unicode-display_width,2.1.0,MIT
unicorn,6.1.0,"GPL-2.0+,Ruby-1.8"
valid_email2,4.0.3,MIT
vcr,6.1.0,MIT
viewpoint,1.1.1,unknown
webmock,3.14.0,MIT
websocket-driver,0.7.5,Apache 2.0
websocket-extensions,0.1.5,Apache 2.0
writeexcel,1.0.5,MIT
xpath,3.2.0,MIT
zendesk_api,1.35.0,Apache 2.0
